id,title,text,label,source,date
0,Government launches new healthcare scheme,Officials confirmed the implementation of new policies to improve public welfare.,0,The Hindu,2025-12-29
1,Government launches new healthcare scheme,Researchers developed a vaccine after years of study.,0,NDTV,2025-10-03
2,Heavy rainfall predicted this week,Weather department predicts heavy rains in multiple regions.,0,BBC,2025-05-13
3,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2025-10-11
4,Scientists discover new vaccine,Researchers developed a vaccine after years of study.,0,Indian Express,2025-10-15
5,Time travel machine invented secretly,Claims spreading online lack medical evidence.,1,Social Media,2025-11-07
6,Aliens landed in India yesterday,Social media users claim unusual sightings without scientific proof.,1,Social Media,2025-08-05
7,Drinking hot water cures cancer,Social media users claim unusual sightings without scientific proof.,1,Social Media,2026-02-28
8,Scientists discover new vaccine,The ministry announced changes to improve education quality.,0,NDTV,2025-06-13
9,Stock market reaches record high,Officials confirmed the implementation of new policies to improve public welfare.,0,NDTV,2025-08-25
10,Stock market reaches record high,Researchers developed a vaccine after years of study.,0,BBC,2025-12-27
11,New education reforms announced,Researchers developed a vaccine after years of study.,0,BBC,2026-03-09
12,Stock market reaches record high,The ministry announced changes to improve education quality.,0,The Hindu,2026-02-12
13,Government launches new healthcare scheme,Officials confirmed the implementation of new policies to improve public welfare.,0,NDTV,2025-04-28
14,Heavy rainfall predicted this week,The ministry announced changes to improve education quality.,0,NDTV,2025-09-08
15,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-09-12
16,Drinking hot water cures cancer,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-04-21
17,Heavy rainfall predicted this week,Researchers developed a vaccine after years of study.,0,Indian Express,2026-01-15
18,New education reforms announced,Weather department predicts heavy rains in multiple regions.,0,Indian Express,2025-09-17
19,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2026-02-12
20,Heavy rainfall predicted this week,The ministry announced changes to improve education quality.,0,Indian Express,2025-12-22
21,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2025-04-23
22,Heavy rainfall predicted this week,Researchers developed a vaccine after years of study.,0,Indian Express,2026-02-15
23,Scientists discover new vaccine,The ministry announced changes to improve education quality.,0,NDTV,2025-05-16
24,Government launches new healthcare scheme,Researchers developed a vaccine after years of study.,0,Indian Express,2025-11-24
25,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-04-19
26,Celebrity cloned in secret lab,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-07-04
27,Stock market reaches record high,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2025-08-04
28,Scientists discover new vaccine,Officials confirmed the implementation of new policies to improve public welfare.,0,Indian Express,2026-01-10
29,Aliens landed in India yesterday,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-05-05
30,5G towers spread viruses,No official confirmation about secret inventions exists.,1,FakeNewsDaily,2025-07-24
31,5G towers spread viruses,Rumors about cloning experiments are circulating online.,1,FakeNewsDaily,2025-10-18
32,New education reforms announced,The ministry announced changes to improve education quality.,0,NDTV,2026-02-09
33,Scientists discover new vaccine,The ministry announced changes to improve education quality.,0,BBC,2025-11-02
